sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
24,1,77.4,0,60,Others,1,64.74,Sci&Tech,Yes,92,Mkt&Fin,63.62,Placed,300000
25,0,76.5,0,97.7,Others,1,78.86,Sci&Tech,No,97.4,Mkt&Fin,74.01,Placed,360000
26,1,52.58,0,54.6,Central,0,50.2,Comm&Mgmt,Yes,76,Mkt&Fin,65.33,Not Placed,NaN
27,0,71,0,79,Others,0,66,Comm&Mgmt,Yes,94,Mkt&Fin,57.55,Placed,240000
28,0,63,0,67,Others,0,66,Comm&Mgmt,No,68,Mkt&HR,57.69,Placed,265000
29,0,76.76,0,76.5,Others,0,67.5,Comm&Mgmt,Yes,73.35,Mkt&Fin,64.15,Placed,350000
30,0,62,1,67,Central,0,58,Comm&Mgmt,No,77,Mkt&Fin,51.29,Not Placed,NaN
31,1,64,1,73.5,Central,0,73,Comm&Mgmt,No,52,Mkt&HR,56.7,Placed,250000
32,1,67,1,53,Central,1,65,Sci&Tech,No,64,Mkt&HR,58.32,Not Placed,NaN
33,1,61,1,81,Central,0,66.4,Comm&Mgmt,No,50.89,Mkt&HR,62.21,Placed,278000
34,1,87,0,65,Others,1,81,Comm&Mgmt,Yes,88,Mkt&Fin,72.78,Placed,260000
35,0,62,0,51,Others,1,52,Others,No,68.44,Mkt&HR,62.77,Not Placed,NaN
36,1,69,1,78,Central,0,72,Comm&Mgmt,No,71,Mkt&HR,62.74,Placed,300000
37,0,51,1,44,Central,0,57,Comm&Mgmt,No,64,Mkt&Fin,51.45,Not Placed,NaN
38,1,79,1,76,Central,1,65.6,Sci&Tech,No,58,Mkt&HR,55.47,Placed,320000
39,1,73,0,58,Others,1,66,Comm&Mgmt,No,53.7,Mkt&HR,56.86,Placed,240000
40,0,81,0,68,Others,1,64,Sci&Tech,No,93,Mkt&Fin,62.56,Placed,411000
41,1,78,1,77,Others,0,80,Comm&Mgmt,No,60,Mkt&Fin,66.72,Placed,287000
42,1,74,0,63.16,Others,0,65,Comm&Mgmt,Yes,65,Mkt&HR,69.76,Not Placed,NaN
43,0,49,0,39,Central,1,65,Others,No,63,Mkt&Fin,51.21,Not Placed,NaN
44,0,87,0,87,Others,0,68,Comm&Mgmt,No,95,Mkt&HR,62.9,Placed,300000
45,1,77,0,73,Others,0,81,Comm&Mgmt,Yes,89,Mkt&Fin,69.7,Placed,200000
46,1,76,1,64,Central,1,72,Sci&Tech,No,58,Mkt&HR,66.53,Not Placed,NaN
47,1,70.89,0,71.98,Others,1,65.6,Comm&Mgmt,No,68,Mkt&HR,71.63,Not Placed,NaN
48,0,63,1,60,Central,0,57,Comm&Mgmt,Yes,78,Mkt&Fin,54.55,Placed,204000
49,0,63,0,62,Others,0,68,Comm&Mgmt,No,64,Mkt&Fin,62.46,Placed,250000
50,1,50,0,37,Others,2,52,Others,No,65,Mkt&HR,56.11,Not Placed,NaN
51,1,75.2,1,73.2,Central,1,68.4,Comm&Mgmt,No,65,Mkt&HR,62.98,Placed,200000
52,0,54.4,1,61.12,Central,0,56.2,Comm&Mgmt,No,67,Mkt&HR,62.65,Not Placed,NaN
53,1,40.89,0,45.83,Others,0,53,Comm&Mgmt,No,71.2,Mkt&HR,65.49,Not Placed,NaN
54,0,80,0,70,Others,1,72,Sci&Tech,No,87,Mkt&HR,71.04,Placed,450000
55,1,74,1,60,Others,1,69,Comm&Mgmt,No,78,Mkt&HR,65.56,Placed,216000
56,0,60.4,1,66.6,Others,1,65,Comm&Mgmt,No,71,Mkt&HR,52.71,Placed,220000
57,0,63,0,71.4,Others,0,61.4,Comm&Mgmt,No,68,Mkt&Fin,66.88,Placed,240000
58,0,68,1,76,Central,0,74,Comm&Mgmt,No,80,Mkt&Fin,63.59,Placed,360000
59,0,74,1,62,Others,1,68,Comm&Mgmt,No,74,Mkt&Fin,57.99,Placed,268000
60,0,52.6,1,65.58,Others,1,72.11,Sci&Tech,No,57.6,Mkt&Fin,56.66,Placed,265000
61,0,74,1,70,Central,1,72,Comm&Mgmt,Yes,60,Mkt&Fin,57.24,Placed,260000
62,0,84.2,1,73.4,Central,0,66.89,Comm&Mgmt,No,61.6,Mkt&Fin,62.48,Placed,300000
63,1,86.5,0,64.2,Others,1,67.4,Sci&Tech,No,59,Mkt&Fin,59.69,Placed,240000
64,0,61,0,70,Others,0,64,Comm&Mgmt,No,68.5,Mkt&HR,59.5,Not Placed,NaN
65,0,80,0,73,Others,0,75,Comm&Mgmt,No,61,Mkt&Fin,58.78,Placed,240000
66,0,54,0,47,Others,1,57,Comm&Mgmt,No,89.69,Mkt&HR,57.1,Not Placed,NaN
67,0,83,0,74,Others,1,66,Comm&Mgmt,No,68.92,Mkt&HR,58.46,Placed,275000
68,0,80.92,0,78.5,Others,0,67,Comm&Mgmt,No,68.71,Mkt&Fin,60.99,Placed,275000
69,1,69.7,1,47,Central,0,72.7,Sci&Tech,No,79,Mkt&HR,59.24,Not Placed,NaN
70,0,73,1,73,Central,1,66,Sci&Tech,Yes,70,Mkt&Fin,68.07,Placed,275000
71,0,82,0,61,Others,1,62,Sci&Tech,No,89,Mkt&Fin,65.45,Placed,360000
72,0,75,0,70.29,Others,0,71,Comm&Mgmt,No,95,Mkt&Fin,66.94,Placed,240000
73,0,84.86,0,67,Others,1,78,Comm&Mgmt,No,95.5,Mkt&Fin,68.53,Placed,240000
74,0,64.6,1,83.83,Others,0,71.72,Comm&Mgmt,No,86,Mkt&Fin,59.75,Placed,218000
75,0,56.6,1,64.8,Central,0,70.2,Comm&Mgmt,No,84.27,Mkt&Fin,67.2,Placed,336000
76,1,59,1,62,Others,0,77.5,Comm&Mgmt,No,74,Mkt&HR,67,Not Placed,NaN
77,1,66.5,0,70.4,Central,2,71.93,Comm&Mgmt,No,61,Mkt&Fin,64.27,Placed,230000
78,0,64,0,80,Others,1,65,Sci&Tech,Yes,69,Mkt&Fin,57.65,Placed,500000
79,0,84,0,90.9,Others,1,64.5,Sci&Tech,No,86.04,Mkt&Fin,59.42,Placed,270000
80,1,69,1,62,Central,1,66,Sci&Tech,No,75,Mkt&HR,67.99,Not Placed,NaN
81,1,69,0,62,Others,0,69,Comm&Mgmt,Yes,67,Mkt&HR,62.35,Placed,240000
82,0,81.7,0,63,Others,1,67,Comm&Mgmt,Yes,86,Mkt&Fin,70.2,Placed,300000
83,0,63,1,67,Central,0,74,Comm&Mgmt,No,82,Mkt&Fin,60.44,Not Placed,NaN
84,0,84,0,79,Others,1,68,Sci&Tech,Yes,84,Mkt&Fin,66.69,Placed,300000
85,0,70,1,63,Others,1,70,Sci&Tech,Yes,55,Mkt&Fin,62,Placed,300000
86,1,83.84,0,89.83,Others,0,77.2,Comm&Mgmt,Yes,78.74,Mkt&Fin,76.18,Placed,400000
87,0,62,0,63,Others,0,64,Comm&Mgmt,No,67,Mkt&Fin,57.03,Placed,220000
88,0,59.6,1,51,Central,1,60,Others,No,75,Mkt&HR,59.08,Not Placed,NaN
89,1,66,1,62,Central,0,73,Comm&Mgmt,No,58,Mkt&HR,64.36,Placed,210000
90,1,84,0,75,Others,1,69,Sci&Tech,Yes,62,Mkt&HR,62.36,Placed,210000
91,1,85,0,90,Others,0,82,Comm&Mgmt,No,92,Mkt&Fin,68.03,Placed,300000
92,0,52,1,57,Central,0,50.8,Comm&Mgmt,No,67,Mkt&HR,62.79,Not Placed,NaN
93,1,60.23,1,69,Central,1,66,Comm&Mgmt,No,72,Mkt&Fin,59.47,Placed,230000
94,0,52,1,62,Central,0,54,Comm&Mgmt,No,72,Mkt&HR,55.41,Not Placed,NaN
95,0,58,1,62,Central,0,64,Comm&Mgmt,No,53.88,Mkt&Fin,54.97,Placed,260000
96,0,73,1,78,Others,0,65,Comm&Mgmt,Yes,95.46,Mkt&Fin,62.16,Placed,420000
97,1,76,1,70,Central,1,76,Comm&Mgmt,Yes,66,Mkt&Fin,64.44,Placed,300000
98,1,70.5,1,62.5,Others,0,61,Comm&Mgmt,No,93.91,Mkt&Fin,69.03,Not Placed,NaN
99,1,69,1,73,Central,0,65,Comm&Mgmt,No,70,Mkt&Fin,57.31,Placed,220000
100,0,54,1,82,Others,0,63,Sci&Tech,No,50,Mkt&Fin,59.47,Not Placed,NaN
101,1,45,0,57,Others,0,58,Comm&Mgmt,Yes,56.39,Mkt&HR,64.95,Not Placed,NaN
102,0,63,1,72,Central,0,68,Comm&Mgmt,No,78,Mkt&HR,60.44,Placed,380000
103,1,77,0,61,Others,0,68,Comm&Mgmt,Yes,57.5,Mkt&Fin,61.31,Placed,300000
104,0,73,1,78,Central,1,73,Sci&Tech,Yes,85,Mkt&HR,65.83,Placed,240000
105,0,69,1,63,Others,1,65,Comm&Mgmt,Yes,55,Mkt&HR,58.23,Placed,360000
106,0,59,1,64,Others,1,58,Sci&Tech,No,85,Mkt&HR,55.3,Not Placed,NaN
107,0,61.08,0,50,Others,1,54,Sci&Tech,No,71,Mkt&Fin,65.69,Not Placed,NaN
108,0,82,0,90,Others,0,83,Comm&Mgmt,No,80,Mkt&HR,73.52,Placed,200000
109,0,61,1,82,Central,0,69,Comm&Mgmt,No,84,Mkt&Fin,58.31,Placed,300000
110,0,52,1,63,Others,1,65,Sci&Tech,Yes,86,Mkt&HR,56.09,Not Placed,NaN
111,1,69.5,1,70,Central,1,72,Sci&Tech,No,57.2,Mkt&HR,54.8,Placed,250000
112,0,51,0,54,Others,1,61,Sci&Tech,No,60,Mkt&HR,60.64,Not Placed,NaN
113,0,58,0,61,Others,0,61,Comm&Mgmt,No,58,Mkt&HR,53.94,Placed,250000
114,1,73.96,0,79,Others,0,67,Comm&Mgmt,No,72.15,Mkt&Fin,63.08,Placed,280000
115,0,65,1,68,Others,1,69,Comm&Mgmt,No,53.7,Mkt&HR,55.01,Placed,250000
116,1,73,0,63,Others,1,66,Comm&Mgmt,No,89,Mkt&Fin,60.5,Placed,216000
117,0,68.2,1,72.8,Central,0,66.6,Comm&Mgmt,Yes,96,Mkt&Fin,70.85,Placed,300000
118,0,77,0,75,Others,1,73,Sci&Tech,No,80,Mkt&Fin,67.05,Placed,240000
119,0,76,1,80,Central,1,78,Sci&Tech,Yes,97,Mkt&HR,70.48,Placed,276000
120,0,60.8,1,68.4,Central,0,64.6,Comm&Mgmt,Yes,82.66,Mkt&Fin,64.34,Placed,940000
121,0,58,0,40,Others,1,59,Comm&Mgmt,No,73,Mkt&HR,58.81,Not Placed,NaN
122,1,64,1,67,Others,1,69.6,Sci&Tech,Yes,55.67,Mkt&HR,71.49,Placed,250000
123,1,66.5,1,66.8,Central,2,69.3,Comm&Mgmt,Yes,80.4,Mkt&Fin,71,Placed,236000
124,0,74,0,59,Others,0,73,Comm&Mgmt,Yes,60,Mkt&HR,56.7,Placed,240000
125,0,67,1,71,Central,1,64.33,Others,Yes,64,Mkt&HR,61.26,Placed,250000
126,1,84,1,73,Central,0,73,Comm&Mgmt,No,75,Mkt&Fin,73.33,Placed,350000
127,1,79,0,61,Others,1,75.5,Sci&Tech,Yes,70,Mkt&Fin,68.2,Placed,210000
128,1,72,0,60,Others,1,69,Comm&Mgmt,No,55.5,Mkt&HR,58.4,Placed,250000
129,0,80.4,1,73.4,Central,1,77.72,Sci&Tech,Yes,81.2,Mkt&HR,76.26,Placed,400000
130,0,76.7,1,89.7,Others,0,66,Comm&Mgmt,Yes,90,Mkt&Fin,68.55,Placed,250000
131,0,62,1,65,Others,0,60,Comm&Mgmt,No,84,Mkt&Fin,64.15,Not Placed,NaN
132,1,74.9,0,57,Others,1,62,Others,Yes,80,Mkt&Fin,60.78,Placed,360000
133,0,67,0,68,Others,0,64,Comm&Mgmt,Yes,74.4,Mkt&HR,53.49,Placed,300000
134,0,73,1,64,Others,0,77,Comm&Mgmt,Yes,65,Mkt&HR,60.98,Placed,250000
135,1,77.44,1,92,Others,0,72,Comm&Mgmt,Yes,94,Mkt&Fin,67.13,Placed,250000
136,1,72,1,56,Others,1,69,Comm&Mgmt,No,55.6,Mkt&HR,65.63,Placed,200000
137,1,47,1,59,Central,2,64,Comm&Mgmt,No,78,Mkt&Fin,61.58,Not Placed,NaN
138,0,67,0,63,Central,0,72,Comm&Mgmt,No,56,Mkt&HR,60.41,Placed,225000
139,1,82,0,64,Others,1,73,Sci&Tech,Yes,96,Mkt&Fin,71.77,Placed,250000
140,0,77,1,70,Central,0,59,Comm&Mgmt,Yes,58,Mkt&Fin,54.43,Placed,220000
141,0,65,1,64.8,Others,0,69.5,Comm&Mgmt,Yes,56,Mkt&Fin,56.94,Placed,265000
142,0,66,1,64,Central,1,60,Comm&Mgmt,No,60,Mkt&HR,61.9,Not Placed,NaN
143,0,85,1,60,Others,1,73.43,Sci&Tech,Yes,60,Mkt&Fin,61.29,Placed,260000
144,0,77.67,0,64.89,Others,0,70.67,Comm&Mgmt,No,89,Mkt&Fin,60.39,Placed,300000
145,0,52,0,50,Others,2,61,Comm&Mgmt,No,60,Mkt&Fin,58.52,Not Placed,NaN
146,0,89.4,0,65.66,Others,1,71.25,Sci&Tech,No,72,Mkt&HR,63.23,Placed,400000
147,0,62,1,63,Others,1,66,Comm&Mgmt,No,85,Mkt&HR,55.14,Placed,233000
148,0,70,1,74,Central,0,65,Comm&Mgmt,No,83,Mkt&Fin,62.28,Placed,300000
149,1,77,1,86,Central,2,56,Others,No,57,Mkt&Fin,64.08,Placed,240000
150,0,44,1,58,Central,2,55,Comm&Mgmt,Yes,64.25,Mkt&HR,58.54,Not Placed,NaN
151,0,71,1,58.66,Central,1,58,Sci&Tech,Yes,56,Mkt&Fin,61.3,Placed,690000
152,0,65,1,65,Central,0,75,Comm&Mgmt,No,83,Mkt&Fin,58.87,Placed,270000
153,1,75.4,0,60.5,Central,1,84,Sci&Tech,No,98,Mkt&Fin,65.25,Placed,240000
154,0,49,0,59,Others,1,65,Sci&Tech,Yes,86,Mkt&Fin,62.48,Placed,340000
155,0,53,1,63,Others,1,60,Comm&Mgmt,Yes,70,Mkt&Fin,53.2,Placed,250000
156,0,51.57,0,74.66,Others,0,59.9,Comm&Mgmt,Yes,56.15,Mkt&HR,65.99,Not Placed,NaN
157,0,84.2,1,69.4,Central,1,65,Sci&Tech,Yes,80,Mkt&HR,52.72,Placed,255000
158,0,66.5,1,62.5,Central,0,60.9,Comm&Mgmt,No,93.4,Mkt&Fin,55.03,Placed,300000
159,0,67,0,63,Others,1,64,Sci&Tech,No,60,Mkt&Fin,61.87,Not Placed,NaN
160,0,52,1,49,Others,0,58,Comm&Mgmt,No,62,Mkt&HR,60.59,Not Placed,NaN
161,0,87,1,74,Central,1,65,Sci&Tech,Yes,75,Mkt&HR,72.29,Placed,300000
162,0,55.6,0,51,Others,0,57.5,Comm&Mgmt,No,57.63,Mkt&HR,62.72,Not Placed,NaN
163,0,74.2,1,87.6,Others,0,77.25,Comm&Mgmt,Yes,75.2,Mkt&Fin,66.06,Placed,285000
164,0,63,0,67,Others,1,64,Sci&Tech,No,75,Mkt&Fin,66.46,Placed,500000
165,1,67.16,1,72.5,Central,0,63.35,Comm&Mgmt,No,53.04,Mkt&Fin,65.52,Placed,250000
166,1,63.3,1,78.33,Others,0,74,Comm&Mgmt,No,80,Mkt&Fin,74.56,Not Placed,NaN
167,0,62,0,62,Others,0,60,Comm&Mgmt,Yes,63,Mkt&HR,52.38,Placed,240000
168,0,67.9,0,62,Others,1,67,Sci&Tech,Yes,58.1,Mkt&Fin,75.71,Not Placed,NaN
169,1,48,1,51,Central,0,58,Comm&Mgmt,Yes,60,Mkt&HR,58.79,Not Placed,NaN
170,0,59.96,0,42.16,Others,1,61.26,Sci&Tech,No,54.48,Mkt&HR,65.48,Not Placed,NaN
171,1,63.4,0,67.2,Others,0,60,Comm&Mgmt,No,58.06,Mkt&HR,69.28,Not Placed,NaN
172,0,80,0,80,Others,0,72,Comm&Mgmt,Yes,63.79,Mkt&Fin,66.04,Placed,290000
173,0,73,0,58,Others,0,56,Comm&Mgmt,No,84,Mkt&HR,52.64,Placed,300000
174,1,52,0,52,Others,1,55,Sci&Tech,No,67,Mkt&HR,59.32,Not Placed,NaN
175,0,73.24,0,50.83,Others,1,64.27,Sci&Tech,Yes,64,Mkt&Fin,66.23,Placed,500000
176,0,63,0,62,Others,1,65,Sci&Tech,No,87.5,Mkt&HR,60.69,Not Placed,NaN
177,1,59,1,60,Others,0,56,Comm&Mgmt,No,55,Mkt&HR,57.9,Placed,220000
178,1,73,1,97,Others,0,79,Comm&Mgmt,Yes,89,Mkt&Fin,70.81,Placed,650000
179,0,68,0,56,Others,1,68,Sci&Tech,No,73,Mkt&HR,68.07,Placed,350000
180,1,77.8,1,64,Central,1,64.2,Sci&Tech,No,75.5,Mkt&HR,72.14,Not Placed,NaN
181,0,65,1,71.5,Others,0,62.8,Comm&Mgmt,Yes,57,Mkt&Fin,56.6,Placed,265000
182,0,62,1,60.33,Others,1,64.21,Sci&Tech,No,63,Mkt&HR,60.02,Not Placed,NaN
183,0,52,0,65,Others,2,57,Others,Yes,75,Mkt&Fin,59.81,Not Placed,NaN
184,0,65,1,77,Central,0,69,Comm&Mgmt,No,60,Mkt&HR,61.82,Placed,276000
185,1,56.28,0,62.83,Others,0,59.79,Comm&Mgmt,No,60,Mkt&HR,57.29,Not Placed,NaN
186,1,88,1,72,Central,1,78,Others,No,82,Mkt&HR,71.43,Placed,252000
187,1,52,1,64,Central,0,61,Comm&Mgmt,No,55,Mkt&Fin,62.93,Not Placed,NaN
188,0,78.5,1,65.5,Central,1,67,Sci&Tech,Yes,95,Mkt&Fin,64.86,Placed,280000
189,0,61.8,0,47,Others,0,54.38,Comm&Mgmt,No,57,Mkt&Fin,56.13,Not Placed,NaN
190,1,54,1,77.6,Others,0,69.2,Comm&Mgmt,No,95.65,Mkt&Fin,66.94,Not Placed,NaN
191,1,64,0,70.2,Central,0,61,Comm&Mgmt,No,50,Mkt&Fin,62.5,Not Placed,NaN
192,0,67,0,61,Central,1,72,Comm&Mgmt,No,72,Mkt&Fin,61.01,Placed,264000
193,0,65.2,1,61.4,Central,0,64.8,Comm&Mgmt,Yes,93.4,Mkt&Fin,57.34,Placed,270000
194,1,60,1,63,Central,2,56,Others,Yes,80,Mkt&HR,56.63,Placed,300000
195,0,52,0,55,Others,0,56.3,Comm&Mgmt,No,59,Mkt&Fin,64.74,Not Placed,NaN
196,0,66,1,76,Central,0,72,Comm&Mgmt,Yes,84,Mkt&HR,58.95,Placed,275000
197,0,72,0,63,Others,1,77.5,Sci&Tech,Yes,78,Mkt&Fin,54.48,Placed,250000
198,1,83.96,0,53,Others,1,91,Sci&Tech,No,59.32,Mkt&HR,69.71,Placed,260000
199,1,67,1,70,Central,0,65,Others,No,88,Mkt&HR,71.96,Not Placed,NaN
200,0,69,0,65,Others,0,57,Comm&Mgmt,No,73,Mkt&HR,55.8,Placed,265000
201,0,69,0,60,Others,0,65,Comm&Mgmt,No,87.55,Mkt&Fin,52.81,Placed,300000
202,0,54.2,1,63,Others,1,58,Comm&Mgmt,No,79,Mkt&HR,58.44,Not Placed,NaN
203,0,70,1,63,Central,1,66,Sci&Tech,No,61.28,Mkt&HR,60.11,Placed,240000
204,0,55.68,0,61.33,Others,0,56.87,Comm&Mgmt,No,66,Mkt&HR,58.3,Placed,260000
205,1,74,0,73,Others,0,73,Comm&Mgmt,Yes,80,Mkt&Fin,67.69,Placed,210000
206,0,61,0,62,Others,0,65,Comm&Mgmt,No,62,Mkt&Fin,56.81,Placed,250000
207,0,41,1,42,Central,1,60,Comm&Mgmt,No,97,Mkt&Fin,53.39,Not Placed,NaN
208,0,83.33,1,78,Others,0,61,Comm&Mgmt,Yes,88.56,Mkt&Fin,71.55,Placed,300000
209,1,43,1,60,Others,1,65,Comm&Mgmt,No,92.66,Mkt&HR,62.92,Not Placed,NaN
210,0,62,1,72,Central,0,65,Comm&Mgmt,No,67,Mkt&Fin,56.49,Placed,216000
211,0,80.6,0,82,Others,0,77.6,Comm&Mgmt,No,91,Mkt&Fin,74.49,Placed,400000
212,0,58,0,60,Others,1,72,Sci&Tech,No,74,Mkt&Fin,53.62,Placed,275000
213,0,67,0,67,Others,0,73,Comm&Mgmt,Yes,59,Mkt&Fin,69.72,Placed,295000
214,1,74,0,66,Others,0,58,Comm&Mgmt,No,70,Mkt&HR,60.23,Placed,204000
215,0,62,1,58,Others,1,53,Comm&Mgmt,No,89,Mkt&HR,60.22,Not Placed,NaN
