Branch,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Payment,cogs,gross margin percentage,gross income,Rating
1,0,0,4,78.31,10,39.155,822.255,0,783.1,4.761904762,39.155,6.6
1,1,0,0,20.38,5,5.095,106.995,1,101.9,4.761904762,5.095,6
1,1,0,0,99.19,6,29.757,624.897,2,595.14,4.761904762,29.757,5.5
2,1,0,4,96.68,3,14.502,304.542,0,290.04,4.761904762,14.502,6.4
1,1,1,4,19.25,8,7.7,161.7,0,154,4.761904762,7.7,6.6
1,0,0,4,80.36,4,16.072,337.512,2,321.44,4.761904762,16.072,8.3
1,0,1,3,48.91,5,12.2275,256.7775,1,244.55,4.761904762,12.2275,6.6
1,1,0,3,83.06,7,29.071,610.491,0,581.42,4.761904762,29.071,4
1,1,1,5,76.52,5,19.13,401.73,1,382.6,4.761904762,19.13,9.9
0,0,1,4,49.38,7,17.283,362.943,2,345.66,4.761904762,17.283,7.3
0,1,1,3,42.47,1,2.1235,44.5935,1,42.47,4.761904762,2.1235,5.7
2,1,0,0,76.99,6,23.097,485.037,1,461.94,4.761904762,23.097,6.1
1,0,0,2,47.38,4,9.476,198.996,1,189.52,4.761904762,9.476,7.1
1,1,0,3,44.86,10,22.43,471.03,0,448.6,4.761904762,22.43,8.2
0,0,0,3,21.98,7,7.693,161.553,0,153.86,4.761904762,7.693,5.1
2,0,1,0,64.36,9,28.962,608.202,2,579.24,4.761904762,28.962,8.6
1,1,1,0,89.75,1,4.4875,94.2375,2,89.75,4.761904762,4.4875,6.6
0,1,1,1,97.16,1,4.858,102.018,0,97.16,4.761904762,4.858,7.2
2,1,1,0,87.87,10,43.935,922.635,0,878.7,4.761904762,43.935,5.1
1,1,0,1,12.45,6,3.735,78.435,1,74.7,4.761904762,3.735,4.1
0,1,1,4,52.75,3,7.9125,166.1625,0,158.25,4.761904762,7.9125,9.3
2,1,1,2,82.7,6,24.81,521.01,1,496.2,4.761904762,24.81,7.4
1,0,1,5,48.71,1,2.4355,51.1455,1,48.71,4.761904762,2.4355,4.1
1,1,1,5,78.55,9,35.3475,742.2975,1,706.95,4.761904762,35.3475,7.2
1,1,0,1,23.07,9,10.3815,218.0115,1,207.63,4.761904762,10.3815,4.9
0,1,1,4,58.26,6,17.478,367.038,1,349.56,4.761904762,17.478,9.9
2,1,1,0,30.35,7,10.6225,223.0725,1,212.45,4.761904762,10.6225,8
0,0,1,1,88.67,10,44.335,931.035,0,886.7,4.761904762,44.335,7.3
1,1,1,5,27.38,6,8.214,172.494,2,164.28,4.761904762,8.214,7.9
0,1,1,3,62.13,6,18.639,391.419,1,372.78,4.761904762,18.639,7.4
1,1,0,4,33.98,9,15.291,321.111,1,305.82,4.761904762,15.291,4.2
1,0,1,1,81.97,10,40.985,860.685,1,819.7,4.761904762,40.985,9.2
2,0,0,3,16.49,2,1.649,34.629,0,32.98,4.761904762,1.649,4.6
1,0,0,0,98.21,3,14.7315,309.3615,2,294.63,4.761904762,14.7315,7.8
2,1,0,5,72.84,7,25.494,535.374,1,509.88,4.761904762,25.494,8.4
0,0,1,2,58.07,9,26.1315,548.7615,0,522.63,4.761904762,26.1315,4.3
1,0,0,2,80.79,9,36.3555,763.4655,2,727.11,4.761904762,36.3555,9.5
1,1,0,5,27.02,3,4.053,85.113,2,81.06,4.761904762,4.053,7.1
2,0,1,5,21.94,5,5.485,115.185,0,109.7,4.761904762,5.485,5.3
2,0,1,5,51.36,1,2.568,53.928,0,51.36,4.761904762,2.568,5.2
0,1,0,4,10.96,10,5.48,115.08,0,109.6,4.761904762,5.48,6
2,1,1,2,53.44,2,5.344,112.224,0,106.88,4.761904762,5.344,4.1
0,1,0,1,99.56,8,39.824,836.304,2,796.48,4.761904762,39.824,5.2
1,0,1,3,57.12,7,19.992,419.832,2,399.84,4.761904762,19.992,6.5
2,0,1,3,99.96,9,44.982,944.622,2,899.64,4.761904762,44.982,4.2
1,0,1,2,63.91,8,25.564,536.844,2,511.28,4.761904762,25.564,4.6
2,0,0,5,56.47,8,22.588,474.348,0,451.76,4.761904762,22.588,7.3
0,1,0,2,93.69,7,32.7915,688.6215,2,655.83,4.761904762,32.7915,4.5
0,1,0,3,32.25,5,8.0625,169.3125,1,161.25,4.761904762,8.0625,9
1,1,0,5,31.73,9,14.2785,299.8485,2,285.57,4.761904762,14.2785,5.9
1,0,0,4,68.54,8,27.416,575.736,0,548.32,4.761904762,27.416,8.5
2,1,0,3,90.28,9,40.626,853.146,0,812.52,4.761904762,40.626,7.2
2,1,0,5,39.62,7,13.867,291.207,1,277.34,4.761904762,13.867,7.5
0,0,0,3,92.13,6,27.639,580.419,1,552.78,4.761904762,27.639,8.3
2,1,0,3,34.84,4,6.968,146.328,1,139.36,4.761904762,6.968,7.4
2,0,1,1,87.45,6,26.235,550.935,2,524.7,4.761904762,26.235,8.8
1,1,0,0,81.3,6,24.39,512.19,0,487.8,4.761904762,24.39,5.3
1,1,1,5,90.22,3,13.533,284.193,1,270.66,4.761904762,13.533,6.2
0,1,0,1,26.31,5,6.5775,138.1275,2,131.55,4.761904762,6.5775,8.8
0,0,0,2,34.42,6,10.326,216.846,1,206.52,4.761904762,10.326,9.8
2,1,1,3,51.91,10,25.955,545.055,1,519.1,4.761904762,25.955,8.2
0,1,1,3,72.5,8,29,609,0,580,4.761904762,29,9.2
1,0,0,3,89.8,10,44.9,942.9,2,898,4.761904762,44.9,5.4
1,0,1,0,90.5,10,45.25,950.25,1,905,4.761904762,45.25,8.1
1,0,0,0,68.6,10,34.3,720.3,1,686,4.761904762,34.3,9.1
1,0,0,4,30.41,1,1.5205,31.9305,2,30.41,4.761904762,1.5205,8.4
0,1,0,2,77.95,6,23.385,491.085,0,467.7,4.761904762,23.385,8
1,1,0,0,46.26,6,13.878,291.438,2,277.56,4.761904762,13.878,9.5
0,0,0,5,30.14,10,15.07,316.47,0,301.4,4.761904762,15.07,9.2
1,1,1,0,66.14,4,13.228,277.788,2,264.56,4.761904762,13.228,5.6
2,0,1,2,71.86,8,28.744,603.624,2,574.88,4.761904762,28.744,6.2
0,1,1,0,32.46,8,12.984,272.664,2,259.68,4.761904762,12.984,4.9
2,0,0,5,91.54,4,18.308,384.468,2,366.16,4.761904762,18.308,4.8
1,0,1,3,34.56,7,12.096,254.016,2,241.92,4.761904762,12.096,7.3
0,1,1,5,83.24,9,37.458,786.618,2,749.16,4.761904762,37.458,7.4
1,1,0,4,16.48,6,4.944,103.824,0,98.88,4.761904762,4.944,9.9
1,1,0,3,80.97,8,32.388,680.148,1,647.76,4.761904762,32.388,9.3
0,0,1,4,92.29,5,23.0725,484.5225,2,461.45,4.761904762,23.0725,9
2,0,1,1,72.17,1,3.6085,75.7785,1,72.17,4.761904762,3.6085,6.1
2,1,1,2,50.28,5,12.57,263.97,0,251.4,4.761904762,12.57,9.7
2,0,1,0,97.22,9,43.749,918.729,0,874.98,4.761904762,43.749,6
2,1,1,3,93.39,6,28.017,588.357,0,560.34,4.761904762,28.017,10
1,1,0,4,43.18,8,17.272,362.712,2,345.44,4.761904762,17.272,8.3
0,1,1,3,63.69,1,3.1845,66.8745,1,63.69,4.761904762,3.1845,6
0,1,1,4,45.79,7,16.0265,336.5565,2,320.53,4.761904762,16.0265,7
1,1,1,3,76.4,2,7.64,160.44,0,152.8,4.761904762,7.64,6.5
2,1,1,4,39.9,10,19.95,418.95,2,399,4.761904762,19.95,5.9
2,0,1,0,42.57,8,17.028,357.588,0,340.56,4.761904762,17.028,5.6
1,1,1,2,95.58,10,47.79,1003.59,1,955.8,4.761904762,47.79,4.8
0,1,1,5,98.98,10,49.49,1039.29,2,989.8,4.761904762,49.49,8.7
0,1,1,4,51.28,6,15.384,323.064,1,307.68,4.761904762,15.384,6.5
0,0,1,3,69.52,7,24.332,510.972,2,486.64,4.761904762,24.332,8.5
0,1,1,0,70.01,5,17.5025,367.5525,0,350.05,4.761904762,17.5025,5.5
2,0,1,4,80.05,5,20.0125,420.2625,2,400.25,4.761904762,20.0125,9.4
1,1,1,1,20.85,8,8.34,175.14,1,166.8,4.761904762,8.34,6.3
2,0,1,1,52.89,6,15.867,333.207,2,317.34,4.761904762,15.867,9.8
2,1,1,4,19.79,8,7.916,166.236,0,158.32,4.761904762,7.916,8.7
0,0,1,2,33.84,9,15.228,319.788,0,304.56,4.761904762,15.228,8.8
0,0,1,4,22.17,8,8.868,186.228,2,177.36,4.761904762,8.868,9.6
1,1,0,5,22.51,7,7.8785,165.4485,2,157.57,4.761904762,7.8785,4.8
0,1,1,4,73.88,6,22.164,465.444,0,443.28,4.761904762,22.164,4.4
1,0,1,0,86.8,3,13.02,273.42,0,260.4,4.761904762,13.02,9.9
1,1,1,5,64.26,7,22.491,472.311,1,449.82,4.761904762,22.491,5.7
1,0,1,4,38.47,8,15.388,323.148,1,307.76,4.761904762,15.388,7.7
0,0,1,3,15.5,10,7.75,162.75,0,155,4.761904762,7.75,8
1,1,1,0,34.31,8,13.724,288.204,0,274.48,4.761904762,13.724,5.7
0,1,0,3,12.34,7,4.319,90.699,2,86.38,4.761904762,4.319,6.7
2,0,1,4,18.08,3,2.712,56.952,0,54.24,4.761904762,2.712,8
2,0,0,2,94.49,8,37.796,793.716,0,755.92,4.761904762,37.796,7.5
2,0,1,2,46.47,4,9.294,195.174,1,185.88,4.761904762,9.294,7
0,1,1,2,74.07,1,3.7035,77.7735,0,74.07,4.761904762,3.7035,9.9
1,1,0,2,69.81,4,13.962,293.202,2,279.24,4.761904762,13.962,5.9
2,1,0,2,77.04,3,11.556,242.676,2,231.12,4.761904762,11.556,7.2
2,1,0,5,73.52,2,7.352,154.392,0,147.04,4.761904762,7.352,4.6
1,1,0,4,87.8,9,39.51,829.71,1,790.2,4.761904762,39.51,9.2
2,1,1,2,25.55,4,5.11,107.31,0,102.2,4.761904762,5.11,5.7
0,1,1,1,32.71,5,8.1775,171.7275,2,163.55,4.761904762,8.1775,9.9
1,0,0,5,74.29,1,3.7145,78.0045,1,74.29,4.761904762,3.7145,5
1,0,1,0,43.7,2,4.37,91.77,1,87.4,4.761904762,4.37,4.9
0,1,0,2,25.29,1,1.2645,26.5545,0,25.29,4.761904762,1.2645,6.1
1,1,1,0,41.5,4,8.3,174.3,2,166,4.761904762,8.3,8.2
1,0,0,4,71.39,5,17.8475,374.7975,2,356.95,4.761904762,17.8475,5.5
1,0,0,3,19.15,6,5.745,120.645,2,114.9,4.761904762,5.745,6.8
2,0,0,1,57.49,4,11.498,241.458,1,229.96,4.761904762,11.498,6.6
1,1,1,1,61.41,7,21.4935,451.3635,1,429.87,4.761904762,21.4935,9.8
2,0,1,0,25.9,10,12.95,271.95,0,259,4.761904762,12.95,8.7
2,0,1,2,17.77,5,4.4425,93.2925,2,88.85,4.761904762,4.4425,5.4
0,1,0,0,23.03,9,10.3635,217.6335,0,207.27,4.761904762,10.3635,7.9
1,0,0,1,66.65,9,29.9925,629.8425,2,599.85,4.761904762,29.9925,9.7
1,0,0,2,28.53,10,14.265,299.565,0,285.3,4.761904762,14.265,7.8
2,1,0,5,30.37,3,4.5555,95.6655,0,91.11,4.761904762,4.5555,5.1
2,1,0,1,99.73,9,44.8785,942.4485,2,897.57,4.761904762,44.8785,6.5
0,1,1,1,26.23,9,11.8035,247.8735,0,236.07,4.761904762,11.8035,5.9
1,1,0,4,93.26,9,41.967,881.307,1,839.34,4.761904762,41.967,8.8
2,1,1,2,92.36,5,23.09,484.89,0,461.8,4.761904762,23.09,4.9
2,1,1,3,46.42,3,6.963,146.223,2,139.26,4.761904762,6.963,4.4
2,0,0,3,29.61,7,10.3635,217.6335,1,207.27,4.761904762,10.3635,6.5
0,1,1,2,18.28,1,0.914,19.194,2,18.28,4.761904762,0.914,8.3
2,1,0,3,24.77,5,6.1925,130.0425,1,123.85,4.761904762,6.1925,8.5
0,0,0,1,94.64,3,14.196,298.116,1,283.92,4.761904762,14.196,5.5
2,1,1,5,94.87,8,37.948,796.908,0,758.96,4.761904762,37.948,8.7
2,1,0,4,57.34,3,8.601,180.621,2,172.02,4.761904762,8.601,7.9
2,1,1,1,45.35,6,13.605,285.705,0,272.1,4.761904762,13.605,6.1
2,1,1,4,62.08,7,21.728,456.288,0,434.56,4.761904762,21.728,5.4
1,1,1,1,11.81,5,2.9525,62.0025,1,59.05,4.761904762,2.9525,9.4
1,0,0,5,12.54,1,0.627,13.167,1,12.54,4.761904762,0.627,8.2
0,1,1,4,43.25,2,4.325,90.825,1,86.5,4.761904762,4.325,6.2
1,0,0,3,87.16,2,8.716,183.036,2,174.32,4.761904762,8.716,9.7
2,0,1,0,69.37,9,31.2165,655.5465,0,624.33,4.761904762,31.2165,4
1,0,1,1,37.06,4,7.412,155.652,0,148.24,4.761904762,7.412,9.7
2,0,0,1,90.7,6,27.21,571.41,1,544.2,4.761904762,27.21,5.3
0,1,0,2,63.42,8,25.368,532.728,0,507.36,4.761904762,25.368,7.4
2,1,0,5,81.37,2,8.137,170.877,1,162.74,4.761904762,8.137,6.5
2,0,0,1,10.59,3,1.5885,33.3585,2,31.77,4.761904762,1.5885,8.7
2,1,0,0,84.09,9,37.8405,794.6505,1,756.81,4.761904762,37.8405,8
2,0,1,5,73.82,4,14.764,310.044,1,295.28,4.761904762,14.764,6.7
0,0,1,0,51.94,10,25.97,545.37,0,519.4,4.761904762,25.97,6.5
0,1,0,3,93.14,2,9.314,195.594,0,186.28,4.761904762,9.314,4.1
1,1,1,0,17.41,5,4.3525,91.4025,2,87.05,4.761904762,4.3525,4.9
1,0,0,5,44.22,5,11.055,232.155,2,221.1,4.761904762,11.055,8.6
2,0,0,1,13.22,5,3.305,69.405,1,66.1,4.761904762,3.305,4.3
0,1,1,5,89.69,1,4.4845,94.1745,0,89.69,4.761904762,4.4845,4.9
0,1,1,4,24.94,9,11.223,235.683,2,224.46,4.761904762,11.223,5.6
0,1,1,0,59.77,2,5.977,125.517,2,119.54,4.761904762,5.977,5.8
1,0,1,5,93.2,2,9.32,195.72,2,186.4,4.761904762,9.32,6
0,0,1,2,62.65,4,12.53,263.13,1,250.6,4.761904762,12.53,4.2
2,1,1,2,93.87,8,37.548,788.508,2,750.96,4.761904762,37.548,8.3
0,0,1,2,47.59,8,19.036,399.756,1,380.72,4.761904762,19.036,5.7
2,0,0,1,81.4,3,12.21,256.41,1,244.2,4.761904762,12.21,4.8
0,0,1,5,17.94,5,4.485,94.185,0,89.7,4.761904762,4.485,6.8
0,0,1,1,77.72,4,15.544,326.424,2,310.88,4.761904762,15.544,8.8
2,1,1,4,73.06,7,25.571,536.991,2,511.42,4.761904762,25.571,4.2
2,0,1,4,46.55,9,20.9475,439.8975,0,418.95,4.761904762,20.9475,6.4
1,0,1,5,35.19,10,17.595,369.495,2,351.9,4.761904762,17.595,8.4
1,1,0,3,14.39,2,1.439,30.219,2,28.78,4.761904762,1.439,7.2
0,1,1,2,23.75,4,4.75,99.75,1,95,4.761904762,4.75,5.2
0,0,1,2,58.9,8,23.56,494.76,1,471.2,4.761904762,23.56,8.9
2,0,1,5,32.62,4,6.524,137.004,1,130.48,4.761904762,6.524,9
0,0,1,1,66.35,1,3.3175,69.6675,2,66.35,4.761904762,3.3175,9.7
0,0,1,2,25.91,6,7.773,163.233,0,155.46,4.761904762,7.773,8.7
0,0,1,1,32.25,4,6.45,135.45,0,129,4.761904762,6.45,6.5
1,0,1,1,65.94,4,13.188,276.948,2,263.76,4.761904762,13.188,6.9
0,1,0,1,75.06,9,33.777,709.317,0,675.54,4.761904762,33.777,6.2
1,1,0,5,16.45,4,3.29,69.09,0,65.8,4.761904762,3.29,5.6
2,0,0,5,38.3,4,7.66,160.86,1,153.2,4.761904762,7.66,5.7
0,0,0,3,22.24,10,11.12,233.52,1,222.4,4.761904762,11.12,4.2
2,1,1,3,54.45,1,2.7225,57.1725,0,54.45,4.761904762,2.7225,7.9
0,0,0,3,98.4,7,34.44,723.24,2,688.8,4.761904762,34.44,8.7
1,1,1,2,35.47,4,7.094,148.974,2,141.88,4.761904762,7.094,6.9
2,0,0,4,74.6,10,37.3,783.3,1,746,4.761904762,37.3,9.5
0,0,1,2,70.74,4,14.148,297.108,2,282.96,4.761904762,14.148,4.4
0,0,0,2,35.54,10,17.77,373.17,0,355.4,4.761904762,17.77,7
2,1,0,3,67.43,5,16.8575,354.0075,0,337.15,4.761904762,16.8575,6.3
1,0,0,0,21.12,2,2.112,44.352,1,42.24,4.761904762,2.112,9.7
0,0,0,2,21.54,9,9.693,203.553,2,193.86,4.761904762,9.693,8.8
0,1,0,2,12.03,2,1.203,25.263,1,24.06,4.761904762,1.203,5.1
2,1,0,0,99.71,6,29.913,628.173,0,598.26,4.761904762,29.913,7.9
2,1,1,5,47.97,7,16.7895,352.5795,1,335.79,4.761904762,16.7895,6.2
1,0,0,2,21.82,10,10.91,229.11,1,218.2,4.761904762,10.91,7.1
1,1,0,5,95.42,4,19.084,400.764,0,381.68,4.761904762,19.084,6.4
1,0,1,5,70.99,10,35.495,745.395,1,709.9,4.761904762,35.495,5.7
0,0,1,3,44.02,10,22.01,462.21,2,440.2,4.761904762,22.01,9.6
0,1,0,2,69.96,8,27.984,587.664,2,559.68,4.761904762,27.984,6.4
1,1,1,2,37,1,1.85,38.85,2,37,4.761904762,1.85,7.9
0,1,0,3,15.34,1,0.767,16.107,1,15.34,4.761904762,0.767,6.5
0,0,1,0,99.83,6,29.949,628.929,0,598.98,4.761904762,29.949,8.5
0,0,0,0,47.67,4,9.534,200.214,1,190.68,4.761904762,9.534,9.1
2,1,1,0,66.68,5,16.67,350.07,1,333.4,4.761904762,16.67,7.6
1,0,1,2,74.86,1,3.743,78.603,1,74.86,4.761904762,3.743,6.9
1,1,0,3,23.75,9,10.6875,224.4375,1,213.75,4.761904762,10.6875,9.5
2,1,0,4,48.51,7,16.9785,356.5485,2,339.57,4.761904762,16.9785,5.2
0,0,0,2,94.88,7,33.208,697.368,1,664.16,4.761904762,33.208,4.2
2,0,1,1,40.3,10,20.15,423.15,2,403,4.761904762,20.15,7
1,1,1,1,27.85,7,9.7475,204.6975,0,194.95,4.761904762,9.7475,6
0,0,0,1,62.48,1,3.124,65.604,1,62.48,4.761904762,3.124,4.7
0,0,0,4,36.36,2,3.636,76.356,1,72.72,4.761904762,3.636,7.1
2,1,1,0,18.11,10,9.055,190.155,0,181.1,4.761904762,9.055,5.9
1,0,0,1,51.92,5,12.98,272.58,1,259.6,4.761904762,12.98,7.5
1,1,1,1,28.84,4,5.768,121.128,1,115.36,4.761904762,5.768,6.4
0,0,1,2,78.38,6,23.514,493.794,0,470.28,4.761904762,23.514,5.8
0,0,1,2,60.01,4,12.002,252.042,1,240.04,4.761904762,12.002,4.5
1,0,0,2,88.61,1,4.4305,93.0405,1,88.61,4.761904762,4.4305,7.7
1,1,1,5,99.82,2,9.982,209.622,2,199.64,4.761904762,9.982,6.7
2,0,1,0,39.01,1,1.9505,40.9605,2,39.01,4.761904762,1.9505,4.7
1,1,1,4,48.61,1,2.4305,51.0405,1,48.61,4.761904762,2.4305,4.4
0,1,0,1,51.19,4,10.238,214.998,2,204.76,4.761904762,10.238,4.7
2,1,0,1,14.96,8,5.984,125.664,1,119.68,4.761904762,5.984,8.6
0,0,1,1,72.2,7,25.27,530.67,0,505.4,4.761904762,25.27,4.3
0,1,0,3,40.23,7,14.0805,295.6905,1,281.61,4.761904762,14.0805,9.6
0,0,0,2,88.79,8,35.516,745.836,1,710.32,4.761904762,35.516,4.1
0,0,0,1,26.48,3,3.972,83.412,0,79.44,4.761904762,3.972,4.7
0,1,0,5,81.91,2,8.191,172.011,1,163.82,4.761904762,8.191,7.8
2,0,1,3,79.93,6,23.979,503.559,1,479.58,4.761904762,23.979,5.5
1,0,1,5,69.33,2,6.933,145.593,0,138.66,4.761904762,6.933,9.7
0,0,0,4,14.23,5,3.5575,74.7075,2,71.15,4.761904762,3.5575,4.4
0,0,0,0,15.55,9,6.9975,146.9475,1,139.95,4.761904762,6.9975,5
1,0,0,1,78.13,10,39.065,820.365,1,781.3,4.761904762,39.065,4.4
1,0,1,4,99.37,2,9.937,208.677,1,198.74,4.761904762,9.937,5.2
1,0,0,4,21.08,3,3.162,66.402,1,63.24,4.761904762,3.162,7.3
1,0,1,1,74.79,5,18.6975,392.6475,1,373.95,4.761904762,18.6975,4.9
1,0,0,0,29.67,7,10.3845,218.0745,2,207.69,4.761904762,10.3845,8.1
1,0,1,0,44.07,4,8.814,185.094,0,176.28,4.761904762,8.814,8.4
1,1,0,4,22.93,9,10.3185,216.6885,1,206.37,4.761904762,10.3185,5.5
1,1,0,0,39.42,1,1.971,41.391,1,39.42,4.761904762,1.971,8.4
0,1,1,0,15.26,6,4.578,96.138,0,91.56,4.761904762,4.578,9.8
0,1,0,5,61.77,5,15.4425,324.2925,1,308.85,4.761904762,15.4425,6.7
0,1,1,2,21.52,6,6.456,135.576,2,129.12,4.761904762,6.456,9.4
2,1,1,3,97.74,4,19.548,410.508,0,390.96,4.761904762,19.548,6.4
