sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,workex,etest_p,mba_p,salary
132,F,74.9,Others,57,Others,Science,62,Yes,80,60.78,360000
133,M,67,Others,68,Others,Commerce,64,Yes,74.4,53.49,300000
134,M,73,Central,64,Others,Commerce,77,Yes,65,60.98,250000
135,F,77.44,Central,92,Others,Commerce,72,Yes,94,67.13,250000
136,F,72,Central,56,Others,Science,69,No,55.6,65.63,200000
137,F,47,Central,59,Central,Arts,64,No,78,61.58,288655.40625
138,M,67,Others,63,Central,Commerce,72,No,56,60.41,225000
139,F,82,Others,64,Others,Science,73,Yes,96,71.77,250000
140,M,77,Central,70,Central,Commerce,59,Yes,58,54.43,220000
141,M,65,Central,64.8,Others,Commerce,69.5,Yes,56,56.94,265000
142,M,66,Central,64,Central,Science,60,No,60,61.9,288655.40625
143,M,85,Central,60,Others,Science,73.43,Yes,60,61.29,260000
144,M,77.67,Others,64.89,Others,Commerce,70.67,No,89,60.39,300000
145,M,52,Others,50,Others,Arts,61,No,60,58.52,288655.40625
146,M,89.4,Others,65.66,Others,Science,71.25,No,72,63.23,400000
147,M,62,Central,63,Others,Science,66,No,85,55.14,233000
148,M,70,Central,74,Central,Commerce,65,No,83,62.28,300000
149,F,77,Central,86,Central,Arts,56,No,57,64.08,240000
150,M,44,Central,58,Central,Arts,55,Yes,64.25,58.54,288655.40625
151,M,71,Central,58.66,Central,Science,58,Yes,56,61.3,690000
152,M,65,Central,65,Central,Commerce,75,No,83,58.87,270000
153,F,75.4,Others,60.5,Central,Science,84,No,98,65.25,240000
154,M,49,Others,59,Others,Science,65,Yes,86,62.48,340000
155,M,53,Central,63,Others,Science,60,Yes,70,53.2,250000
156,M,51.57,Others,74.66,Others,Commerce,59.9,Yes,56.15,65.99,288655.40625
157,M,84.2,Central,69.4,Central,Science,65,Yes,80,52.72,255000
158,M,66.5,Central,62.5,Central,Commerce,60.9,No,93.4,55.03,300000
159,M,67,Others,63,Others,Science,64,No,60,61.87,288655.40625
160,M,52,Central,49,Others,Commerce,58,No,62,60.59,288655.40625
161,M,87,Central,74,Central,Science,65,Yes,75,72.29,300000
162,M,55.6,Others,51,Others,Commerce,57.5,No,57.63,62.72,288655.40625
163,M,74.2,Central,87.6,Others,Commerce,77.25,Yes,75.2,66.06,285000
164,M,63,Others,67,Others,Science,64,No,75,66.46,500000
165,F,67.16,Central,72.5,Central,Commerce,63.35,No,53.04,65.52,250000
166,F,63.3,Central,78.33,Others,Commerce,74,No,80,74.56,288655.40625
167,M,62,Others,62,Others,Commerce,60,Yes,63,52.38,240000
168,M,67.9,Others,62,Others,Science,67,Yes,58.1,75.71,288655.40625
169,F,48,Central,51,Central,Commerce,58,Yes,60,58.79,288655.40625
170,M,59.96,Others,42.16,Others,Science,61.26,No,54.48,65.48,288655.40625
171,F,63.4,Others,67.2,Others,Commerce,60,No,58.06,69.28,288655.40625
172,M,80,Others,80,Others,Commerce,72,Yes,63.79,66.04,290000
173,M,73,Others,58,Others,Commerce,56,No,84,52.64,300000
174,F,52,Others,52,Others,Science,55,No,67,59.32,288655.40625
175,M,73.24,Others,50.83,Others,Science,64.27,Yes,64,66.23,500000
176,M,63,Others,62,Others,Science,65,No,87.5,60.69,288655.40625
177,F,59,Central,60,Others,Commerce,56,No,55,57.9,220000
178,F,73,Central,97,Others,Commerce,79,Yes,89,70.81,650000
179,M,68,Others,56,Others,Science,68,No,73,68.07,350000
180,F,77.8,Central,64,Central,Science,64.2,No,75.5,72.14,288655.40625
181,M,65,Central,71.5,Others,Commerce,62.8,Yes,57,56.6,265000
182,M,62,Central,60.33,Others,Science,64.21,No,63,60.02,288655.40625
183,M,52,Others,65,Others,Arts,57,Yes,75,59.81,288655.40625
184,M,65,Central,77,Central,Commerce,69,No,60,61.82,276000
185,F,56.28,Others,62.83,Others,Commerce,59.79,No,60,57.29,288655.40625
186,F,88,Central,72,Central,Science,78,No,82,71.43,252000
187,F,52,Central,64,Central,Commerce,61,No,55,62.93,288655.40625
188,M,78.5,Central,65.5,Central,Science,67,Yes,95,64.86,280000
189,M,61.8,Others,47,Others,Commerce,54.38,No,57,56.13,288655.40625
190,F,54,Central,77.6,Others,Commerce,69.2,No,95.65,66.94,288655.40625
191,F,64,Others,70.2,Central,Commerce,61,No,50,62.5,288655.40625
192,M,67,Others,61,Central,Science,72,No,72,61.01,264000
193,M,65.2,Central,61.4,Central,Commerce,64.8,Yes,93.4,57.34,270000
194,F,60,Central,63,Central,Arts,56,Yes,80,56.63,300000
195,M,52,Others,55,Others,Commerce,56.3,No,59,64.74,288655.40625
196,M,66,Central,76,Central,Commerce,72,Yes,84,58.95,275000
197,M,72,Others,63,Others,Science,77.5,Yes,78,54.48,250000
198,F,83.96,Others,53,Others,Science,91,No,59.32,69.71,260000
199,F,67,Central,70,Central,Commerce,65,No,88,71.96,288655.40625
200,M,69,Others,65,Others,Commerce,57,No,73,55.8,265000
201,M,69,Others,60,Others,Commerce,65,No,87.55,52.81,300000
202,M,54.2,Central,63,Others,Science,58,No,79,58.44,288655.40625
203,M,70,Central,63,Central,Science,66,No,61.28,60.11,240000
204,M,55.68,Others,61.33,Others,Commerce,56.87,No,66,58.3,260000
205,F,74,Others,73,Others,Commerce,73,Yes,80,67.69,210000
206,M,61,Others,62,Others,Commerce,65,No,62,56.81,250000
207,M,41,Central,42,Central,Science,60,No,97,53.39,288655.40625
208,M,83.33,Central,78,Others,Commerce,61,Yes,88.56,71.55,300000
209,F,43,Central,60,Others,Science,65,No,92.66,62.92,288655.40625
210,M,62,Central,72,Central,Commerce,65,No,67,56.49,216000
211,M,80.6,Others,82,Others,Commerce,77.6,No,91,74.49,400000
212,M,58,Others,60,Others,Science,72,No,74,53.62,275000
213,M,67,Others,67,Others,Commerce,73,Yes,59,69.72,295000
214,F,74,Others,66,Others,Commerce,58,No,70,60.23,204000
215,M,62,Central,58,Others,Science,53,No,89,60.22,288655.40625
